Wall time,Step,Value
1487112994.6660736,5,0.48707321286201477
1487112995.572743,7,0.5068275332450867
1487112996.0504968,8,0.48569753766059875
1487112996.996831,10,0.48270636796951294
1487112997.9333017,12,0.48338577151298523
1487112998.4160888,13,0.49063435196876526
1487112998.8937182,14,0.5137662291526794
1487112999.3226914,15,0.5329490303993225
1487112999.817944,16,0.5265436172485352
1487113000.303538,17,0.5452066659927368
1487113000.7427788,18,0.5296301245689392
1487113001.1922536,19,0.5510835647583008
1487113001.6816761,20,0.5598465800285339
1487113002.1865385,21,0.5655848383903503
1487113002.6823423,22,0.5318930745124817
1487113003.616236,24,0.5614442229270935
1487113004.6022267,26,0.5433354377746582
1487113005.1132433,27,0.5282106995582581
1487113007.4921339,32,0.5216180682182312
1487113007.9230022,33,0.5203317403793335
1487113008.3689077,34,0.5093037486076355
1487113008.8604746,35,0.5073824524879456
1487113009.3298228,36,0.5282754898071289
1487113010.2685895,38,0.5466409921646118
1487113011.7151494,41,0.5678589344024658
1487113012.1890445,42,0.5753564834594727
1487113013.1074817,44,0.5821144580841064
1487113013.611067,45,0.5708425641059875
1487113014.1212308,46,0.5460293292999268
1487113014.6264572,47,0.5640884041786194
1487113015.5517254,49,0.5714124441146851
1487113016.4796214,51,0.5781207084655762
1487113016.9717948,52,0.6015813946723938
1487113018.4115577,55,0.5902712941169739
1487113018.9066613,56,0.599567711353302
1487113019.340914,57,0.5987781286239624
1487113019.847765,58,0.5959769487380981
1487113020.3325572,59,0.5872958302497864
1487113021.8385599,62,0.5975428223609924
1487113022.3284097,63,0.6030191779136658
1487113023.3244913,65,0.6118043065071106
1487113023.8294187,66,0.6134231090545654
1487113024.328318,67,0.6035738587379456
1487113024.8935316,68,0.6135272979736328
1487113025.5265734,69,0.6112281680107117
1487113026.1955128,70,0.6326655745506287
1487113026.8047526,71,0.6211225986480713
1487113028.0570538,73,0.6089413166046143
1487113029.53971,74,0.6055702567100525
1487113029.9782658,75,0.585789680480957
1487113030.4752598,76,0.5683639645576477
1487113031.4735794,78,0.5777385234832764
1487113032.480666,80,0.5885804891586304
1487113032.9966006,81,0.595434844493866
1487113034.0145733,83,0.5940299034118652
1487113034.528844,84,0.597127377986908
1487113035.5596697,86,0.6007048487663269
1487113036.06783,87,0.6078226566314697
1487113036.5220804,88,0.6157911419868469
1487113037.0186958,89,0.6135867834091187
1487113037.5093515,90,0.6178534626960754
1487113037.9853406,91,0.6263811588287354
1487113038.9661708,93,0.6439322233200073
1487113039.4745197,94,0.6420389413833618
1487113039.906358,95,0.6450226902961731
1487113040.3943398,96,0.6586459279060364
1487113042.837312,101,0.6880159378051758
1487113043.3441362,102,0.6895268559455872
1487113044.307875,104,0.6952356100082397
1487113045.2733536,106,0.7039222717285156
1487113045.7371535,107,0.6960299015045166
1487113046.222693,108,0.7061145901679993
1487113047.686942,111,0.69242924451828
1487113048.1855648,112,0.6903737783432007
1487113049.6694658,115,0.6867824792861938
1487113051.0393958,118,0.6957426071166992
1487113052.0221543,120,0.7007390260696411
1487113052.484983,121,0.7103526592254639
1487113052.9829655,122,0.7096298336982727
1487113054.9619071,126,0.7215631604194641
1487113055.4853044,127,0.7212818264961243
1487113055.9291992,128,0.7304036617279053
1487113056.4193232,129,0.7354882955551147
1487113057.3160982,131,0.7396518588066101
1487113057.7940784,132,0.7469366192817688
1487113059.2420819,135,0.7374230027198792
1487113060.6528113,138,0.7702376246452332
1487113061.1383898,139,0.7760263681411743
1487113062.0919664,141,0.7570188641548157
1487113062.9669485,143,0.7599040269851685
1487113063.4660025,144,0.7479760646820068
1487113063.9857845,145,0.7638034820556641
1487113064.484007,146,0.7592981457710266
1487113064.9961987,147,0.7661808133125305
1487113066.5674808,148,0.7755002379417419
1487113067.3574686,150,0.7771696448326111
1487113067.8221822,151,0.7648373246192932
1487113068.3102028,152,0.7664785981178284
1487113068.8020792,153,0.76639324426651
1487113069.741013,155,0.774684727191925
1487113070.2400112,156,0.7706537842750549
1487113070.7031255,157,0.7717134356498718
1487113071.721341,159,0.777587890625
1487113072.1803842,160,0.774829089641571
1487113072.6819868,161,0.7754712104797363
1487113073.6876142,163,0.7661004066467285
1487113074.1743548,164,0.7660528421401978
1487113075.1529727,166,0.7748777866363525
1487113075.657939,167,0.7645775079727173
1487113076.5678747,169,0.772432804107666
1487113077.0324957,170,0.7780020236968994
1487113077.5415976,171,0.7720768451690674
1487113078.4922204,173,0.771007239818573
1487113078.9503274,174,0.7689065337181091
1487113080.430827,177,0.7695797085762024
1487113080.932724,178,0.7676217555999756
1487113081.440231,179,0.7642970681190491
1487113081.956877,180,0.7628673315048218
1487113082.942887,182,0.7710475325584412
1487113083.3986416,183,0.7798802852630615
1487113084.3861494,185,0.7767030596733093
1487113085.3724837,187,0.7789732217788696
1487113085.888699,188,0.7729508876800537
1487113086.3301961,189,0.7722182869911194
1487113086.8342016,190,0.779371440410614
1487113087.7777932,192,0.7856658697128296
1487113088.2170653,193,0.7820993065834045
1487113089.8049192,196,0.790478527545929
1487113092.0027063,200,0.7866392135620117
1487113093.9427845,204,0.7911124229431152
1487113095.4153707,207,0.7895490527153015
1487113095.927947,208,0.7902816534042358
1487113096.4287217,209,0.7909409999847412
1487113096.8775797,210,0.788409411907196
1487113098.7230122,214,0.8028098344802856
1487113099.1666214,215,0.7990913391113281
1487113099.6064215,216,0.8004322052001953
1487113100.0461445,217,0.7953889966011047
1487113101.539443,220,0.8045417070388794
1487113102.0179443,221,0.8100250363349915
1487113103.5778944,222,0.8118350505828857
1487113104.0754402,223,0.8150265216827393
1487113104.4608722,224,0.8116488456726074
1487113104.8504758,225,0.807407021522522
1487113105.7957604,227,0.8126295208930969
1487113106.3018086,228,0.8048040866851807
1487113106.7545273,229,0.8133862018585205
1487113107.764032,231,0.8188428282737732
1487113108.2445107,232,0.8213335275650024
1487113108.7443852,233,0.8204501867294312
1487113109.2544513,234,0.8134051561355591
1487113109.7215233,235,0.8055021166801453
1487113110.2148125,236,0.7983893752098083
1487113111.6122434,239,0.8147133588790894
1487113112.1116905,240,0.8223045468330383
1487113113.1414256,242,0.8277854323387146
1487113115.0577953,246,0.8235412836074829
1487113115.5061152,247,0.8193121552467346
1487113116.44215,249,0.821299135684967
1487113116.949958,250,0.8235442042350769
1487113117.410829,251,0.8161897659301758
1487113117.8620377,252,0.8080083131790161
1487113118.3840287,253,0.8006449937820435
1487113118.8583121,254,0.8002679944038391
1487113120.3177402,257,0.8084110021591187
1487113121.7906346,260,0.797675371170044
1487113122.26824,261,0.7944703102111816
1487113122.7400253,262,0.7947107553482056
1487113123.184188,263,0.8011772036552429
1487113124.077065,265,0.8106722831726074
1487113125.079542,267,0.7983633279800415
1487113126.046928,269,0.7733930349349976
1487113127.0359385,271,0.788010835647583
1487113128.0132234,273,0.7851637601852417
1487113128.5005982,274,0.7910223603248596
1487113128.9458737,275,0.7994201183319092
1487113129.406832,276,0.8054156303405762
1487113129.876682,277,0.7998740673065186
1487113130.884442,279,0.7936792373657227
1487113131.3379028,280,0.7893112897872925
1487113132.3046746,282,0.7966859340667725
1487113133.3331969,284,0.8042218685150146
1487113134.3249292,286,0.8043884634971619
1487113136.792199,291,0.8085625767707825
1487113137.8271806,293,0.8079044222831726
1487113138.3312707,294,0.802113950252533
1487113140.3565423,296,0.7984622716903687
1487113140.8918617,297,0.7951785326004028
1487113141.3969955,298,0.7953481674194336
1487113141.848211,299,0.7970633506774902
1487113142.2603185,300,0.8058185577392578
1487113142.7842662,301,0.8060059547424316
1487113143.3110008,302,0.8066553473472595
1487113143.839374,303,0.8009898066520691
1487113144.3478007,304,0.8021408319473267
1487113144.87045,305,0.810989260673523
